Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Chattooga County,GA,Chattooga Academy,130108003571,2015,Classroom Teachers,3.46,3.46,,,,,,,,,,
GA,Chattooga County,GA,Chattooga Academy,130108003571,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Chattooga County,GA,Chattooga Academy,130108003571,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Chattooga County,GA,Chattooga Academy,130108003571,2015,Teachers absent more than 10 days of the school year,0.20,,,,,,,,,,,
GA,Chattooga County,GA,Chattooga Academy,130108003571,2015,Teachers employed during current school year,12.00,,,,,,,,,,,
GA,Chattooga County,GA,Chattooga Academy,130108003571,2015,Teachers employed during both the current and previous school year,6.00,,,,,,,,,,,
GA,Chattooga County,GA,Chattooga Academy,130108003571,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Chattooga County,GA,Chattooga Academy,130108003571,2015,Total enrollment,,,0.00,0.00,0.00,5.00,4.00,58.00,13.00,80.00,22.00,2.00
GA,Chattooga County,GA,Summerville Middle School,130108000422,2015,Classroom Teachers,30.74,30.74,,,,,,,,,,
GA,Chattooga County,GA,Summerville Middle School,130108000422,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Chattooga County,GA,Summerville Middle School,130108000422,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Chattooga County,GA,Summerville Middle School,130108000422,2015,Teachers absent more than 10 days of the school year,2.80,,,,,,,,,,,
GA,Chattooga County,GA,Summerville Middle School,130108000422,2015,Teachers employed during current school year,32.00,,,,,,,,,,,
GA,Chattooga County,GA,Summerville Middle School,130108000422,2015,Teachers employed during both the current and previous school year,24.00,,,,,,,,,,,
GA,Chattooga County,GA,Summerville Middle School,130108000422,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Chattooga County,GA,Summerville Middle School,130108000422,2015,Total enrollment,,,2.00,2.00,0.00,28.00,40.00,274.00,22.00,368.00,65.00,7.00
GA,Chattooga County,GA,SUMMERVILLE PRE-K,130108099999,2015,Classroom Teachers,4.00,4.00,,,,,,,,,,
GA,Chattooga County,GA,SUMMERVILLE PRE-K,130108099999,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Chattooga County,GA,SUMMERVILLE PRE-K,130108099999,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Chattooga County,GA,SUMMERVILLE PRE-K,130108099999,2015,Teachers absent more than 10 days of the school year,2.00,,,,,,,,,,,
GA,Chattooga County,GA,SUMMERVILLE PRE-K,130108099999,2015,Teachers employed during current school year,4.00,,,,,,,,,,,
GA,Chattooga County,GA,SUMMERVILLE PRE-K,130108099999,2015,Teachers employed during both the current and previous school year,3.00,,,,,,,,,,,
GA,Chattooga County,GA,SUMMERVILLE PRE-K,130108099999,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Chattooga County,GA,SUMMERVILLE PRE-K,130108099999,2015,Total enrollment,,,0.00,0.00,0.00,4.00,13.00,85.00,2.00,104.00,35.00,0.00
GA,Chattooga County,GA,Chattooga High School,130108000418,2015,Classroom Teachers,45.15,45.15,,,,,,,,,,
GA,Chattooga County,GA,Chattooga High School,130108000418,2015,Classroom teachers in their first year of teaching,0.25,,,,,,,,,,,
GA,Chattooga County,GA,Chattooga High School,130108000418,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Chattooga County,GA,Chattooga High School,130108000418,2015,Teachers absent more than 10 days of the school year,17.30,,,,,,,,,,,
GA,Chattooga County,GA,Chattooga High School,130108000418,2015,Teachers employed during current school year,50.00,,,,,,,,,,,
GA,Chattooga County,GA,Chattooga High School,130108000418,2015,Teachers employed during both the current and previous school year,46.00,,,,,,,,,,,
GA,Chattooga County,GA,Chattooga High School,130108000418,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Chattooga County,GA,Chattooga High School,130108000418,2015,Total enrollment,,,4.00,2.00,0.00,37.00,55.00,631.00,43.00,772.00,104.00,4.00
GA,Chattooga County,GA,Leroy Massey Elementary School,130108003307,2015,Classroom Teachers,55.85,54.85,,,,,,,,,,
GA,Chattooga County,GA,Leroy Massey Elementary School,130108003307,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Chattooga County,GA,Leroy Massey Elementary School,130108003307,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Chattooga County,GA,Leroy Massey Elementary School,130108003307,2015,Teachers absent more than 10 days of the school year,16.00,,,,,,,,,,,
GA,Chattooga County,GA,Leroy Massey Elementary School,130108003307,2015,Teachers employed during current school year,57.00,,,,,,,,,,,
GA,Chattooga County,GA,Leroy Massey Elementary School,130108003307,2015,Teachers employed during both the current and previous school year,46.00,,,,,,,,,,,
GA,Chattooga County,GA,Leroy Massey Elementary School,130108003307,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Chattooga County,GA,Leroy Massey Elementary School,130108003307,2015,Total enrollment,,,0.00,2.00,2.00,91.00,112.00,613.00,67.00,887.00,197.00,46.00

