Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Forsyth County Schools,GA,Sharon Elementary School,130222002880,2015,Classroom Teachers,58.49,58.49,,,,,,,,,,
GA,Forsyth County Schools,GA,Sharon Elementary School,130222002880,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Sharon Elementary School,130222002880,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Sharon Elementary School,130222002880,2015,Teachers absent more than 10 days of the school year,15.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Sharon Elementary School,130222002880,2015,Teachers employed during current school year,59.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Sharon Elementary School,130222002880,2015,Teachers employed during both the current and previous school year,51.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Sharon Elementary School,130222002880,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Sharon Elementary School,130222002880,2015,Total enrollment,,,4.00,190.00,4.00,43.00,22.00,724.00,43.00,1030.00,176.00,19.00
GA,Gwinnett County,GA,Parsons Elementary School,130255002902,2015,Classroom Teachers,55.65,55.65,,,,,,,,,,
GA,Gwinnett County,GA,Parsons Elementary School,130255002902,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Gwinnett County,GA,Parsons Elementary School,130255002902,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Parsons Elementary School,130255002902,2015,Teachers absent more than 10 days of the school year,13.00,,,,,,,,,,,
GA,Gwinnett County,GA,Parsons Elementary School,130255002902,2015,Teachers employed during current school year,58.00,,,,,,,,,,,
GA,Gwinnett County,GA,Parsons Elementary School,130255002902,2015,Teachers employed during both the current and previous school year,46.00,,,,,,,,,,,
GA,Gwinnett County,GA,Parsons Elementary School,130255002902,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Gwinnett County,GA,Parsons Elementary School,130255002902,2015,Total enrollment,,,2.00,373.00,4.00,52.00,121.00,208.00,34.00,794.00,92.00,157.00
GA,Gwinnett County,GA,Peachtree Ridge High School,130255002903,2015,Classroom Teachers,162.63,152.13,,,,,,,,,,
GA,Gwinnett County,GA,Peachtree Ridge High School,130255002903,2015,Classroom teachers in their first year of teaching,11.50,,,,,,,,,,,
GA,Gwinnett County,GA,Peachtree Ridge High School,130255002903,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Gwinnett County,GA,Peachtree Ridge High School,130255002903,2015,Teachers absent more than 10 days of the school year,34.00,,,,,,,,,,,
GA,Gwinnett County,GA,Peachtree Ridge High School,130255002903,2015,Teachers employed during current school year,168.00,,,,,,,,,,,
GA,Gwinnett County,GA,Peachtree Ridge High School,130255002903,2015,Teachers employed during both the current and previous school year,151.00,,,,,,,,,,,
GA,Gwinnett County,GA,Peachtree Ridge High School,130255002903,2015,High-School Counselors,7.00,,,,,,,,,,,
GA,Gwinnett County,GA,Peachtree Ridge High School,130255002903,2015,Total enrollment,,,4.00,811.00,4.00,544.00,856.00,865.00,103.00,3187.00,305.00,118.00
GA,Gwinnett County,GA,Level Creek Elementary School,130255003397,2015,Classroom Teachers,54.57,53.57,,,,,,,,,,
GA,Gwinnett County,GA,Level Creek Elementary School,130255003397,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Gwinnett County,GA,Level Creek Elementary School,130255003397,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Level Creek Elementary School,130255003397,2015,Teachers absent more than 10 days of the school year,10.00,,,,,,,,,,,
GA,Gwinnett County,GA,Level Creek Elementary School,130255003397,2015,Teachers employed during current school year,57.00,,,,,,,,,,,
GA,Gwinnett County,GA,Level Creek Elementary School,130255003397,2015,Teachers employed during both the current and previous school year,49.00,,,,,,,,,,,
GA,Gwinnett County,GA,Level Creek Elementary School,130255003397,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Gwinnett County,GA,Level Creek Elementary School,130255003397,2015,Total enrollment,,,2.00,160.00,0.00,40.00,82.00,571.00,52.00,907.00,113.00,61.00
GA,Gwinnett County,GA,North Gwinnett High School,130255001123,2015,Classroom Teachers,136.75,134.25,,,,,,,,,,
GA,Gwinnett County,GA,North Gwinnett High School,130255001123,2015,Classroom teachers in their first year of teaching,4.50,,,,,,,,,,,
GA,Gwinnett County,GA,North Gwinnett High School,130255001123,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,Gwinnett County,GA,North Gwinnett High School,130255001123,2015,Teachers absent more than 10 days of the school year,29.00,,,,,,,,,,,
GA,Gwinnett County,GA,North Gwinnett High School,130255001123,2015,Teachers employed during current school year,138.00,,,,,,,,,,,
GA,Gwinnett County,GA,North Gwinnett High School,130255001123,2015,Teachers employed during both the current and previous school year,122.00,,,,,,,,,,,
GA,Gwinnett County,GA,North Gwinnett High School,130255001123,2015,High-School Counselors,5.00,,,,,,,,,,,
GA,Gwinnett County,GA,North Gwinnett High School,130255001123,2015,Total enrollment,,,4.00,562.00,7.00,244.00,331.00,1594.00,100.00,2842.00,239.00,58.00
GA,Forsyth County Schools,GA,Settles Bridge Elementary School,130222002320,2015,Classroom Teachers,62.90,62.90,,,,,,,,,,
GA,Forsyth County Schools,GA,Settles Bridge Elementary School,130222002320,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Settles Bridge Elementary School,130222002320,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Settles Bridge Elementary School,130222002320,2015,Teachers absent more than 10 days of the school year,13.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Settles Bridge Elementary School,130222002320,2015,Teachers employed during current school year,63.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Settles Bridge Elementary School,130222002320,2015,Teachers employed during both the current and previous school year,57.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Settles Bridge Elementary School,130222002320,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Forsyth County Schools,GA,Settles Bridge Elementary School,130222002320,2015,Total enrollment,,,2.00,445.00,0.00,64.00,46.00,481.00,40.00,1078.00,137.00,100.00
GA,Gwinnett County,GA,Walnut Grove Elementary School,130255000046,2015,Classroom Teachers,61.00,60.50,,,,,,,,,,
GA,Gwinnett County,GA,Walnut Grove Elementary School,130255000046,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Gwinnett County,GA,Walnut Grove Elementary School,130255000046,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Walnut Grove Elementary School,130255000046,2015,Teachers absent more than 10 days of the school year,20.00,,,,,,,,,,,
