Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Emanuel County,GA,Swainsboro Elementary School,130204002164,2015,Classroom Teachers,46.00,46.00,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro Elementary School,130204002164,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro Elementary School,130204002164,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro Elementary School,130204002164,2015,Teachers absent more than 10 days of the school year,37.00,,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro Elementary School,130204002164,2015,Teachers employed during current school year,46.00,,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro Elementary School,130204002164,2015,Teachers employed during both the current and previous school year,46.00,,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro Elementary School,130204002164,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro Elementary School,130204002164,2015,Total enrollment,,,0.00,4.00,0.00,70.00,337.00,295.00,22.00,728.00,113.00,40.00
GA,Emanuel County,GA,Swainsboro Primary School,130204000906,2015,Classroom Teachers,48.00,48.00,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro Primary School,130204000906,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro Primary School,130204000906,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro Primary School,130204000906,2015,Teachers absent more than 10 days of the school year,50.00,,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro Primary School,130204000906,2015,Teachers employed during current school year,48.00,,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro Primary School,130204000906,2015,Teachers employed during both the current and previous school year,48.00,,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro Primary School,130204000906,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro Primary School,130204000906,2015,Total enrollment,,,0.00,4.00,0.00,88.00,475.00,400.00,34.00,1001.00,122.00,46.00
GA,Emanuel County,GA,Swainsboro High School,130204002033,2015,Classroom Teachers,53.00,53.00,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro High School,130204002033,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro High School,130204002033,2015,Classroom teachers in their second year of teaching,6.00,,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro High School,130204002033,2015,Teachers absent more than 10 days of the school year,50.00,,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro High School,130204002033,2015,Teachers employed during current school year,53.00,,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro High School,130204002033,2015,Teachers employed during both the current and previous school year,53.00,,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro High School,130204002033,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro High School,130204002033,2015,Total enrollment,,,0.00,4.00,0.00,37.00,343.00,295.00,13.00,692.00,110.00,7.00
GA,Emanuel County,GA,Swainsboro Middle School,130204002034,2015,Classroom Teachers,43.00,43.00,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro Middle School,130204002034,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro Middle School,130204002034,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro Middle School,130204002034,2015,Teachers absent more than 10 days of the school year,43.00,,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro Middle School,130204002034,2015,Teachers employed during current school year,43.00,,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro Middle School,130204002034,2015,Teachers employed during both the current and previous school year,43.00,,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro Middle School,130204002034,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Emanuel County,GA,Swainsboro Middle School,130204002034,2015,Total enrollment,,,0.00,4.00,0.00,52.00,304.00,286.00,16.00,662.00,95.00,4.00
GA,Emanuel County,GA,CrossRoads Alternative,130204002716,2015,Classroom Teachers,1.00,1.00,,,,,,,,,,
GA,Emanuel County,GA,CrossRoads Alternative,130204002716,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Emanuel County,GA,CrossRoads Alternative,130204002716,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Emanuel County,GA,CrossRoads Alternative,130204002716,2015,Teachers absent more than 10 days of the school year,1.00,,,,,,,,,,,
GA,Emanuel County,GA,CrossRoads Alternative,130204002716,2015,Teachers employed during current school year,3.00,,,,,,,,,,,
GA,Emanuel County,GA,CrossRoads Alternative,130204002716,2015,Teachers employed during both the current and previous school year,3.00,,,,,,,,,,,
GA,Emanuel County,GA,CrossRoads Alternative,130204002716,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Emanuel County,GA,CrossRoads Alternative,130204002716,2015,Total enrollment,,,0.00,0.00,0.00,2.00,31.00,7.00,0.00,40.00,10.00,0.00

