Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Haralson County,GA,Haralson County Middle School,130267001639,2015,Classroom Teachers,58.02,57.02,,,,,,,,,,
GA,Haralson County,GA,Haralson County Middle School,130267001639,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Haralson County,GA,Haralson County Middle School,130267001639,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Haralson County,GA,Haralson County Middle School,130267001639,2015,Teachers absent more than 10 days of the school year,19.96,,,,,,,,,,,
GA,Haralson County,GA,Haralson County Middle School,130267001639,2015,Teachers employed during current school year,63.00,,,,,,,,,,,
GA,Haralson County,GA,Haralson County Middle School,130267001639,2015,Teachers employed during both the current and previous school year,58.00,,,,,,,,,,,
GA,Haralson County,GA,Haralson County Middle School,130267001639,2015,High-School Counselors,1.98,,,,,,,,,,,
GA,Haralson County,GA,Haralson County Middle School,130267001639,2015,Total enrollment,,,0.00,0.00,4.00,10.00,16.00,688.00,25.00,743.00,146.00,4.00
GA,Haralson County,GA,Haralson County High School,130267001183,2015,Classroom Teachers,70.35,65.39,,,,,,,,,,
GA,Haralson County,GA,Haralson County High School,130267001183,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Haralson County,GA,Haralson County High School,130267001183,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,Haralson County,GA,Haralson County High School,130267001183,2015,Teachers absent more than 10 days of the school year,29.62,,,,,,,,,,,
GA,Haralson County,GA,Haralson County High School,130267001183,2015,Teachers employed during current school year,76.00,,,,,,,,,,,
GA,Haralson County,GA,Haralson County High School,130267001183,2015,Teachers employed during both the current and previous school year,64.00,,,,,,,,,,,
GA,Haralson County,GA,Haralson County High School,130267001183,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Haralson County,GA,Haralson County High School,130267001183,2015,Total enrollment,,,4.00,5.00,2.00,22.00,34.00,985.00,37.00,1089.00,146.00,4.00
GA,Haralson County,GA,West Haralson Elementary School,130267001182,2015,Classroom Teachers,27.81,27.81,,,,,,,,,,
GA,Haralson County,GA,West Haralson Elementary School,130267001182,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Haralson County,GA,West Haralson Elementary School,130267001182,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Haralson County,GA,West Haralson Elementary School,130267001182,2015,Teachers absent more than 10 days of the school year,11.50,,,,,,,,,,,
GA,Haralson County,GA,West Haralson Elementary School,130267001182,2015,Teachers employed during current school year,35.00,,,,,,,,,,,
GA,Haralson County,GA,West Haralson Elementary School,130267001182,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
GA,Haralson County,GA,West Haralson Elementary School,130267001182,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Haralson County,GA,West Haralson Elementary School,130267001182,2015,Total enrollment,,,2.00,2.00,0.00,10.00,4.00,313.00,19.00,350.00,53.00,4.00
GA,Haralson County,GA,Tallapoosa Primary School,130267001181,2015,Classroom Teachers,39.58,39.58,,,,,,,,,,
GA,Haralson County,GA,Tallapoosa Primary School,130267001181,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Haralson County,GA,Tallapoosa Primary School,130267001181,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Haralson County,GA,Tallapoosa Primary School,130267001181,2015,Teachers absent more than 10 days of the school year,15.50,,,,,,,,,,,
GA,Haralson County,GA,Tallapoosa Primary School,130267001181,2015,Teachers employed during current school year,46.00,,,,,,,,,,,
GA,Haralson County,GA,Tallapoosa Primary School,130267001181,2015,Teachers employed during both the current and previous school year,43.00,,,,,,,,,,,
GA,Haralson County,GA,Tallapoosa Primary School,130267001181,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Haralson County,GA,Tallapoosa Primary School,130267001181,2015,Total enrollment,,,2.00,4.00,0.00,7.00,7.00,433.00,22.00,475.00,77.00,4.00

