Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Bulloch County,GA,Nevils Elementary School,130063003549,2015,Classroom Teachers,30.28,30.28,,,,,,,,,,
GA,Bulloch County,GA,Nevils Elementary School,130063003549,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Bulloch County,GA,Nevils Elementary School,130063003549,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Bulloch County,GA,Nevils Elementary School,130063003549,2015,Teachers absent more than 10 days of the school year,10.29,,,,,,,,,,,
GA,Bulloch County,GA,Nevils Elementary School,130063003549,2015,Teachers employed during current school year,32.00,,,,,,,,,,,
GA,Bulloch County,GA,Nevils Elementary School,130063003549,2015,Teachers employed during both the current and previous school year,26.00,,,,,,,,,,,
GA,Bulloch County,GA,Nevils Elementary School,130063003549,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Bulloch County,GA,Nevils Elementary School,130063003549,2015,Total enrollment,,,2.00,2.00,2.00,31.00,64.00,346.00,4.00,451.00,56.00,19.00
GA,Echols County,GA,Echols County Elementary/Middle School,130195003976,2015,Classroom Teachers,45.19,45.19,,,,,,,,,,
GA,Echols County,GA,Echols County Elementary/Middle School,130195003976,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Echols County,GA,Echols County Elementary/Middle School,130195003976,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Echols County,GA,Echols County Elementary/Middle School,130195003976,2015,Teachers absent more than 10 days of the school year,19.39,,,,,,,,,,,
GA,Echols County,GA,Echols County Elementary/Middle School,130195003976,2015,Teachers employed during current school year,46.00,,,,,,,,,,,
GA,Echols County,GA,Echols County Elementary/Middle School,130195003976,2015,Teachers employed during both the current and previous school year,42.00,,,,,,,,,,,
GA,Echols County,GA,Echols County Elementary/Middle School,130195003976,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Echols County,GA,Echols County Elementary/Middle School,130195003976,2015,Total enrollment,,,10.00,0.00,0.00,298.00,16.00,265.00,13.00,602.00,44.00,160.00
GA,Bulloch County,GA,Mattie Lively Elementary School,130063000290,2015,Classroom Teachers,48.00,48.00,,,,,,,,,,
GA,Bulloch County,GA,Mattie Lively Elementary School,130063000290,2015,Classroom teachers in their first year of teaching,7.00,,,,,,,,,,,
GA,Bulloch County,GA,Mattie Lively Elementary School,130063000290,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Bulloch County,GA,Mattie Lively Elementary School,130063000290,2015,Teachers absent more than 10 days of the school year,15.50,,,,,,,,,,,
