Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Carroll County,GA,Providence Elementary School,130084003982,2015,Classroom Teachers,26.10,26.10,,,,,,,,,,
GA,Carroll County,GA,Providence Elementary School,130084003982,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Carroll County,GA,Providence Elementary School,130084003982,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Carroll County,GA,Providence Elementary School,130084003982,2015,Teachers absent more than 10 days of the school year,7.50,,,,,,,,,,,
GA,Carroll County,GA,Providence Elementary School,130084003982,2015,Teachers employed during current school year,28.00,,,,,,,,,,,
GA,Carroll County,GA,Providence Elementary School,130084003982,2015,Teachers employed during both the current and previous school year,24.00,,,,,,,,,,,
GA,Carroll County,GA,Providence Elementary School,130084003982,2015,High-School Counselors,0.49,,,,,,,,,,,
GA,Carroll County,GA,Providence Elementary School,130084003982,2015,Total enrollment,,,2.00,2.00,0.00,10.00,28.00,346.00,25.00,413.00,35.00,5.00
GA,Carroll County,GA,Temple High School,130084002097,2015,Classroom Teachers,34.30,32.30,,,,,,,,,,
GA,Carroll County,GA,Temple High School,130084002097,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Carroll County,GA,Temple High School,130084002097,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Carroll County,GA,Temple High School,130084002097,2015,Teachers absent more than 10 days of the school year,14.53,,,,,,,,,,,
GA,Carroll County,GA,Temple High School,130084002097,2015,Teachers employed during current school year,36.00,,,,,,,,,,,
GA,Carroll County,GA,Temple High School,130084002097,2015,Teachers employed during both the current and previous school year,29.00,,,,,,,,,,,
GA,Carroll County,GA,Temple High School,130084002097,2015,High-School Counselors,1.60,,,,,,,,,,,
GA,Carroll County,GA,Temple High School,130084002097,2015,Total enrollment,,,4.00,4.00,0.00,40.00,121.00,460.00,34.00,663.00,80.00,4.00
GA,Carroll County,GA,Temple Middle School,130084002452,2015,Classroom Teachers,28.30,28.30,,,,,,,,,,
GA,Carroll County,GA,Temple Middle School,130084002452,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Carroll County,GA,Temple Middle School,130084002452,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Carroll County,GA,Temple Middle School,130084002452,2015,Teachers absent more than 10 days of the school year,8.00,,,,,,,,,,,
GA,Carroll County,GA,Temple Middle School,130084002452,2015,Teachers employed during current school year,30.00,,,,,,,,,,,
GA,Carroll County,GA,Temple Middle School,130084002452,2015,Teachers employed during both the current and previous school year,23.00,,,,,,,,,,,
GA,Carroll County,GA,Temple Middle School,130084002452,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Carroll County,GA,Temple Middle School,130084002452,2015,Total enrollment,,,2.00,5.00,2.00,31.00,76.00,337.00,28.00,481.00,71.00,4.00
GA,Paulding County,GA,Union Elementary School,130402001477,2015,Classroom Teachers,33.00,33.00,,,,,,,,,,
GA,Paulding County,GA,Union Elementary School,130402001477,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Paulding County,GA,Union Elementary School,130402001477,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Paulding County,GA,Union Elementary School,130402001477,2015,Teachers absent more than 10 days of the school year,8.00,,,,,,,,,,,
GA,Paulding County,GA,Union Elementary School,130402001477,2015,Teachers employed during current school year,33.00,,,,,,,,,,,
GA,Paulding County,GA,Union Elementary School,130402001477,2015,Teachers employed during both the current and previous school year,31.00,,,,,,,,,,,
GA,Paulding County,GA,Union Elementary School,130402001477,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Paulding County,GA,Union Elementary School,130402001477,2015,Total enrollment,,,4.00,0.00,0.00,16.00,43.00,394.00,16.00,473.00,47.00,4.00
GA,Carroll County,GA,Villa Rica Middle,130084003301,2015,Classroom Teachers,29.25,28.25,,,,,,,,,,
GA,Carroll County,GA,Villa Rica Middle,130084003301,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Carroll County,GA,Villa Rica Middle,130084003301,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Carroll County,GA,Villa Rica Middle,130084003301,2015,Teachers absent more than 10 days of the school year,15.18,,,,,,,,,,,
GA,Carroll County,GA,Villa Rica Middle,130084003301,2015,Teachers employed during current school year,31.00,,,,,,,,,,,
GA,Carroll County,GA,Villa Rica Middle,130084003301,2015,Teachers employed during both the current and previous school year,22.00,,,,,,,,,,,
GA,Carroll County,GA,Villa Rica Middle,130084003301,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Carroll County,GA,Villa Rica Middle,130084003301,2015,Total enrollment,,,0.00,2.00,0.00,43.00,127.00,274.00,40.00,486.00,53.00,7.00
GA,Carroll County,GA,Temple Elementary School,130084000320,2015,Classroom Teachers,34.27,34.27,,,,,,,,,,
GA,Carroll County,GA,Temple Elementary School,130084000320,2015,Classroom teachers in their first year of teaching,6.00,,,,,,,,,,,
GA,Carroll County,GA,Temple Elementary School,130084000320,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Carroll County,GA,Temple Elementary School,130084000320,2015,Teachers absent more than 10 days of the school year,9.50,,,,,,,,,,,
GA,Carroll County,GA,Temple Elementary School,130084000320,2015,Teachers employed during current school year,37.00,,,,,,,,,,,
GA,Carroll County,GA,Temple Elementary School,130084000320,2015,Teachers employed during both the current and previous school year,31.00,,,,,,,,,,,
GA,Carroll County,GA,Temple Elementary School,130084000320,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Carroll County,GA,Temple Elementary School,130084000320,2015,Total enrollment,,,0.00,10.00,0.00,28.00,139.00,367.00,40.00,584.00,62.00,10.00

