Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Thomaston-Upson County,GA,Upson-Lee Alternative School,130528002788,2015,Classroom Teachers,2.00,2.00,,,,,,,,,,
GA,Thomaston-Upson County,GA,Upson-Lee Alternative School,130528002788,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Thomaston-Upson County,GA,Upson-Lee Alternative School,130528002788,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Thomaston-Upson County,GA,Upson-Lee Alternative School,130528002788,2015,Teachers absent more than 10 days of the school year,0.00,,,,,,,,,,,
GA,Thomaston-Upson County,GA,Upson-Lee Alternative School,130528002788,2015,Teachers employed during current school year,2.00,,,,,,,,,,,
GA,Thomaston-Upson County,GA,Upson-Lee Alternative School,130528002788,2015,Teachers employed during both the current and previous school year,2.00,,,,,,,,,,,
GA,Thomaston-Upson County,GA,Upson-Lee Alternative School,130528002788,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Thomaston-Upson County,GA,Upson-Lee Alternative School,130528002788,2015,Total enrollment,,,0.00,0.00,0.00,0.00,10.00,4.00,2.00,16.00,4.00,0.00
GA,Thomaston-Upson County,GA,Upson-Lee North Elementary School,130528002199,2015,Classroom Teachers,35.75,35.75,,,,,,,,,,
GA,Thomaston-Upson County,GA,Upson-Lee North Elementary School,130528002199,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Thomaston-Upson County,GA,Upson-Lee North Elementary School,130528002199,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Thomaston-Upson County,GA,Upson-Lee North Elementary School,130528002199,2015,Teachers absent more than 10 days of the school year,7.00,,,,,,,,,,,
GA,Thomaston-Upson County,GA,Upson-Lee North Elementary School,130528002199,2015,Teachers employed during current school year,37.00,,,,,,,,,,,
GA,Thomaston-Upson County,GA,Upson-Lee North Elementary School,130528002199,2015,Teachers employed during both the current and previous school year,33.00,,,,,,,,,,,
GA,Thomaston-Upson County,GA,Upson-Lee North Elementary School,130528002199,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Thomaston-Upson County,GA,Upson-Lee North Elementary School,130528002199,2015,Total enrollment,,,0.00,2.00,0.00,31.00,208.00,343.00,31.00,615.00,89.00,10.00
GA,Thomaston-Upson County,GA,UPSON-LEE LEARNING ACADEMY,130528099999,2015,Classroom Teachers,1.00,1.00,,,,,,,,,,
GA,Thomaston-Upson County,GA,UPSON-LEE LEARNING ACADEMY,130528099999,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Thomaston-Upson County,GA,UPSON-LEE LEARNING ACADEMY,130528099999,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Thomaston-Upson County,GA,UPSON-LEE LEARNING ACADEMY,130528099999,2015,Teachers absent more than 10 days of the school year,0.00,,,,,,,,,,,
