Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,McDuffie County,GA,Thomson High School,130357002183,2015,Classroom Teachers,71.33,65.10,,,,,,,,,,
GA,McDuffie County,GA,Thomson High School,130357002183,2015,Classroom teachers in their first year of teaching,6.00,,,,,,,,,,,
GA,McDuffie County,GA,Thomson High School,130357002183,2015,Classroom teachers in their second year of teaching,5.00,,,,,,,,,,,
GA,McDuffie County,GA,Thomson High School,130357002183,2015,Teachers absent more than 10 days of the school year,11.24,,,,,,,,,,,
GA,McDuffie County,GA,Thomson High School,130357002183,2015,Teachers employed during current school year,70.00,,,,,,,,,,,
GA,McDuffie County,GA,Thomson High School,130357002183,2015,Teachers employed during both the current and previous school year,48.00,,,,,,,,,,,
GA,McDuffie County,GA,Thomson High School,130357002183,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,McDuffie County,GA,Thomson High School,130357002183,2015,Total enrollment,,,4.00,4.00,2.00,37.00,586.00,577.00,16.00,1226.00,128.00,4.00
GA,McDuffie County,GA,Norris Elementary School,130357000459,2015,Classroom Teachers,30.06,30.06,,,,,,,,,,
GA,McDuffie County,GA,Norris Elementary School,130357000459,2015,Classroom teachers in their first year of teaching,6.00,,,,,,,,,,,
GA,McDuffie County,GA,Norris Elementary School,130357000459,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,McDuffie County,GA,Norris Elementary School,130357000459,2015,Teachers absent more than 10 days of the school year,8.00,,,,,,,,,,,
GA,McDuffie County,GA,Norris Elementary School,130357000459,2015,Teachers employed during current school year,30.00,,,,,,,,,,,
GA,McDuffie County,GA,Norris Elementary School,130357000459,2015,Teachers employed during both the current and previous school year,23.00,,,,,,,,,,,
GA,McDuffie County,GA,Norris Elementary School,130357000459,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,McDuffie County,GA,Norris Elementary School,130357000459,2015,Total enrollment,,,0.00,2.00,2.00,4.00,304.00,163.00,16.00,491.00,77.00,4.00
GA,McDuffie County,GA,Maxwell Elementary School,130357001349,2015,Classroom Teachers,41.75,40.75,,,,,,,,,,
GA,McDuffie County,GA,Maxwell Elementary School,130357001349,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,McDuffie County,GA,Maxwell Elementary School,130357001349,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,McDuffie County,GA,Maxwell Elementary School,130357001349,2015,Teachers absent more than 10 days of the school year,12.26,,,,,,,,,,,
GA,McDuffie County,GA,Maxwell Elementary School,130357001349,2015,Teachers employed during current school year,44.00,,,,,,,,,,,
GA,McDuffie County,GA,Maxwell Elementary School,130357001349,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,McDuffie County,GA,Maxwell Elementary School,130357001349,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,McDuffie County,GA,Maxwell Elementary School,130357001349,2015,Total enrollment,,,0.00,4.00,2.00,16.00,412.00,175.00,19.00,628.00,95.00,7.00
GA,McDuffie County,GA,Thomson-McDuffie Middle School,130357003737,2015,Classroom Teachers,61.03,60.03,,,,,,,,,,
GA,McDuffie County,GA,Thomson-McDuffie Middle School,130357003737,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,McDuffie County,GA,Thomson-McDuffie Middle School,130357003737,2015,Classroom teachers in their second year of teaching,4.00,,,,,,,,,,,
GA,McDuffie County,GA,Thomson-McDuffie Middle School,130357003737,2015,Teachers absent more than 10 days of the school year,15.06,,,,,,,,,,,
GA,McDuffie County,GA,Thomson-McDuffie Middle School,130357003737,2015,Teachers employed during current school year,61.00,,,,,,,,,,,
GA,McDuffie County,GA,Thomson-McDuffie Middle School,130357003737,2015,Teachers employed during both the current and previous school year,46.00,,,,,,,,,,,
GA,McDuffie County,GA,Thomson-McDuffie Middle School,130357003737,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,McDuffie County,GA,Thomson-McDuffie Middle School,130357003737,2015,Total enrollment,,,0.00,4.00,0.00,34.00,412.00,349.00,43.00,842.00,107.00,5.00
GA,McDuffie County,GA,Thomson Elementary School,130357001353,2015,Classroom Teachers,36.86,36.86,,,,,,,,,,
GA,McDuffie County,GA,Thomson Elementary School,130357001353,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,McDuffie County,GA,Thomson Elementary School,130357001353,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,McDuffie County,GA,Thomson Elementary School,130357001353,2015,Teachers absent more than 10 days of the school year,12.80,,,,,,,,,,,
GA,McDuffie County,GA,Thomson Elementary School,130357001353,2015,Teachers employed during current school year,37.00,,,,,,,,,,,
GA,McDuffie County,GA,Thomson Elementary School,130357001353,2015,Teachers employed during both the current and previous school year,31.00,,,,,,,,,,,
GA,McDuffie County,GA,Thomson Elementary School,130357001353,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,McDuffie County,GA,Thomson Elementary School,130357001353,2015,Total enrollment,,,0.00,4.00,0.00,10.00,322.00,139.00,13.00,488.00,83.00,7.00

