Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Rabun County,GA,Rabun County High School,130432001520,2015,Classroom Teachers,47.37,44.37,,,,,,,,,,
GA,Rabun County,GA,Rabun County High School,130432001520,2015,Classroom teachers in their first year of teaching,4.86,,,,,,,,,,,
GA,Rabun County,GA,Rabun County High School,130432001520,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Rabun County,GA,Rabun County High School,130432001520,2015,Teachers absent more than 10 days of the school year,25.86,,,,,,,,,,,
GA,Rabun County,GA,Rabun County High School,130432001520,2015,Teachers employed during current school year,50.00,,,,,,,,,,,
GA,Rabun County,GA,Rabun County High School,130432001520,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Rabun County,GA,Rabun County High School,130432001520,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Rabun County,GA,Rabun County High School,130432001520,2015,Total enrollment,,,2.00,2.00,0.00,88.00,10.00,550.00,16.00,668.00,86.00,16.00
GA,Rabun County,GA,Rabun County Elementary School,130432001519,2015,Classroom Teachers,48.46,48.46,,,,,,,,,,
GA,Rabun County,GA,Rabun County Elementary School,130432001519,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Rabun County,GA,Rabun County Elementary School,130432001519,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Rabun County,GA,Rabun County Elementary School,130432001519,2015,Teachers absent more than 10 days of the school year,10.00,,,,,,,,,,,
GA,Rabun County,GA,Rabun County Elementary School,130432001519,2015,Teachers employed during current school year,50.00,,,,,,,,,,,
GA,Rabun County,GA,Rabun County Elementary School,130432001519,2015,Teachers employed during both the current and previous school year,44.00,,,,,,,,,,,
GA,Rabun County,GA,Rabun County Elementary School,130432001519,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Rabun County,GA,Rabun County Elementary School,130432001519,2015,Total enrollment,,,2.00,2.00,0.00,118.00,2.00,550.00,7.00,681.00,80.00,49.00
GA,Rabun County,GA,Rabun County Middle School,130432002425,2015,Classroom Teachers,27.63,26.63,,,,,,,,,,
GA,Rabun County,GA,Rabun County Middle School,130432002425,2015,Classroom teachers in their first year of teaching,2.14,,,,,,,,,,,
GA,Rabun County,GA,Rabun County Middle School,130432002425,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Rabun County,GA,Rabun County Middle School,130432002425,2015,Teachers absent more than 10 days of the school year,9.64,,,,,,,,,,,
GA,Rabun County,GA,Rabun County Middle School,130432002425,2015,Teachers employed during current school year,34.00,,,,,,,,,,,
GA,Rabun County,GA,Rabun County Middle School,130432002425,2015,Teachers employed during both the current and previous school year,25.00,,,,,,,,,,,
GA,Rabun County,GA,Rabun County Middle School,130432002425,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Rabun County,GA,Rabun County Middle School,130432002425,2015,Total enrollment,,,2.00,2.00,0.00,55.00,2.00,256.00,2.00,319.00,50.00,7.00
GA,Rabun County,GA,Rabun County Primary School,130432004136,2015,Classroom Teachers,42.04,42.04,,,,,,,,,,
GA,Rabun County,GA,Rabun County Primary School,130432004136,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Rabun County,GA,Rabun County Primary School,130432004136,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Rabun County,GA,Rabun County Primary School,130432004136,2015,Teachers absent more than 10 days of the school year,14.00,,,,,,,,,,,
GA,Rabun County,GA,Rabun County Primary School,130432004136,2015,Teachers employed during current school year,43.00,,,,,,,,,,,
GA,Rabun County,GA,Rabun County Primary School,130432004136,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Rabun County,GA,Rabun County Primary School,130432004136,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Rabun County,GA,Rabun County Primary School,130432004136,2015,Total enrollment,,,7.00,0.00,0.00,127.00,4.00,460.00,16.00,614.00,65.00,70.00

