Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Stephens County Schools,GA,Stephens County High School,130456001619,2015,Classroom Teachers,67.56,63.62,,,,,,,,,,
GA,Stephens County Schools,GA,Stephens County High School,130456001619,2015,Classroom teachers in their first year of teaching,6.54,,,,,,,,,,,
GA,Stephens County Schools,GA,Stephens County High School,130456001619,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Stephens County Schools,GA,Stephens County High School,130456001619,2015,Teachers absent more than 10 days of the school year,22.37,,,,,,,,,,,
GA,Stephens County Schools,GA,Stephens County High School,130456001619,2015,Teachers employed during current school year,69.00,,,,,,,,,,,
GA,Stephens County Schools,GA,Stephens County High School,130456001619,2015,Teachers employed during both the current and previous school year,53.00,,,,,,,,,,,
GA,Stephens County Schools,GA,Stephens County High School,130456001619,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Stephens County Schools,GA,Stephens County High School,130456001619,2015,Total enrollment,,,2.00,7.00,2.00,46.00,157.00,886.00,64.00,1164.00,155.00,4.00
GA,Stephens County Schools,GA,Stephens County Fifth Grade Academy,130456004209,2015,Classroom Teachers,17.00,15.67,,,,,,,,,,
GA,Stephens County Schools,GA,Stephens County Fifth Grade Academy,130456004209,2015,Classroom teachers in their first year of teaching,1.17,,,,,,,,,,,
GA,Stephens County Schools,GA,Stephens County Fifth Grade Academy,130456004209,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Stephens County Schools,GA,Stephens County Fifth Grade Academy,130456004209,2015,Teachers absent more than 10 days of the school year,5.17,,,,,,,,,,,
GA,Stephens County Schools,GA,Stephens County Fifth Grade Academy,130456004209,2015,Teachers employed during current school year,22.00,,,,,,,,,,,
GA,Stephens County Schools,GA,Stephens County Fifth Grade Academy,130456004209,2015,Teachers employed during both the current and previous school year,0.00,,,,,,,,,,,
GA,Stephens County Schools,GA,Stephens County Fifth Grade Academy,130456004209,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Stephens County Schools,GA,Stephens County Fifth Grade Academy,130456004209,2015,Total enrollment,,,0.00,4.00,0.00,13.00,34.00,217.00,28.00,296.00,35.00,10.00
GA,Stephens County Schools,GA,Liberty Elementary School,130456001987,2015,Classroom Teachers,42.74,41.74,,,,,,,,,,
GA,Stephens County Schools,GA,Liberty Elementary School,130456001987,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Stephens County Schools,GA,Liberty Elementary School,130456001987,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Stephens County Schools,GA,Liberty Elementary School,130456001987,2015,Teachers absent more than 10 days of the school year,12.00,,,,,,,,,,,
GA,Stephens County Schools,GA,Liberty Elementary School,130456001987,2015,Teachers employed during current school year,45.00,,,,,,,,,,,
GA,Stephens County Schools,GA,Liberty Elementary School,130456001987,2015,Teachers employed during both the current and previous school year,11.00,,,,,,,,,,,
GA,Stephens County Schools,GA,Liberty Elementary School,130456001987,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Stephens County Schools,GA,Liberty Elementary School,130456001987,2015,Total enrollment,,,2.00,7.00,0.00,28.00,82.00,478.00,40.00,637.00,86.00,16.00
GA,Stephens County Schools,GA,Stephens County Middle School,130456001624,2015,Classroom Teachers,62.78,60.64,,,,,,,,,,
GA,Stephens County Schools,GA,Stephens County Middle School,130456001624,2015,Classroom teachers in their first year of teaching,4.14,,,,,,,,,,,
GA,Stephens County Schools,GA,Stephens County Middle School,130456001624,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Stephens County Schools,GA,Stephens County Middle School,130456001624,2015,Teachers absent more than 10 days of the school year,23.14,,,,,,,,,,,
GA,Stephens County Schools,GA,Stephens County Middle School,130456001624,2015,Teachers employed during current school year,65.00,,,,,,,,,,,
GA,Stephens County Schools,GA,Stephens County Middle School,130456001624,2015,Teachers employed during both the current and previous school year,52.00,,,,,,,,,,,
GA,Stephens County Schools,GA,Stephens County Middle School,130456001624,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Stephens County Schools,GA,Stephens County Middle School,130456001624,2015,Total enrollment,,,2.00,7.00,2.00,37.00,130.00,664.00,58.00,900.00,125.00,7.00
GA,Stephens County Schools,GA,Toccoa Elementary School,130456001845,2015,Classroom Teachers,40.12,40.12,,,,,,,,,,
GA,Stephens County Schools,GA,Toccoa Elementary School,130456001845,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Stephens County Schools,GA,Toccoa Elementary School,130456001845,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Stephens County Schools,GA,Toccoa Elementary School,130456001845,2015,Teachers absent more than 10 days of the school year,9.00,,,,,,,,,,,
GA,Stephens County Schools,GA,Toccoa Elementary School,130456001845,2015,Teachers employed during current school year,42.00,,,,,,,,,,,
GA,Stephens County Schools,GA,Toccoa Elementary School,130456001845,2015,Teachers employed during both the current and previous school year,10.00,,,,,,,,,,,
GA,Stephens County Schools,GA,Toccoa Elementary School,130456001845,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Stephens County Schools,GA,Toccoa Elementary School,130456001845,2015,Total enrollment,,,0.00,7.00,2.00,22.00,70.00,499.00,49.00,649.00,101.00,13.00

