Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Dade County,GA,Dade Middle School,130159000777,2015,Classroom Teachers,37.33,36.83,,,,,,,,,,
GA,Dade County,GA,Dade Middle School,130159000777,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Dade County,GA,Dade Middle School,130159000777,2015,Classroom teachers in their second year of teaching,0.50,,,,,,,,,,,
GA,Dade County,GA,Dade Middle School,130159000777,2015,Teachers absent more than 10 days of the school year,15.00,,,,,,,,,,,
GA,Dade County,GA,Dade Middle School,130159000777,2015,Teachers employed during current school year,40.00,,,,,,,,,,,
GA,Dade County,GA,Dade Middle School,130159000777,2015,Teachers employed during both the current and previous school year,35.00,,,,,,,,,,,
GA,Dade County,GA,Dade Middle School,130159000777,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Dade County,GA,Dade Middle School,130159000777,2015,Total enrollment,,,0.00,0.00,0.00,4.00,4.00,460.00,5.00,473.00,89.00,2.00
GA,Dade County,GA,Dade Elementary School,130159000868,2015,Classroom Teachers,51.50,51.50,,,,,,,,,,
GA,Dade County,GA,Dade Elementary School,130159000868,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Dade County,GA,Dade Elementary School,130159000868,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Dade County,GA,Dade Elementary School,130159000868,2015,Teachers absent more than 10 days of the school year,13.00,,,,,,,,,,,
GA,Dade County,GA,Dade Elementary School,130159000868,2015,Teachers employed during current school year,52.00,,,,,,,,,,,
GA,Dade County,GA,Dade Elementary School,130159000868,2015,Teachers employed during both the current and previous school year,47.00,,,,,,,,,,,
GA,Dade County,GA,Dade Elementary School,130159000868,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Dade County,GA,Dade Elementary School,130159000868,2015,Total enrollment,,,4.00,7.00,0.00,28.00,10.00,721.00,19.00,789.00,176.00,4.00
GA,Dade County,GA,Davis Elementary School,130159000778,2015,Classroom Teachers,22.50,22.50,,,,,,,,,,
GA,Dade County,GA,Davis Elementary School,130159000778,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Dade County,GA,Davis Elementary School,130159000778,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Dade County,GA,Davis Elementary School,130159000778,2015,Teachers absent more than 10 days of the school year,10.50,,,,,,,,,,,
GA,Dade County,GA,Davis Elementary School,130159000778,2015,Teachers employed during current school year,24.00,,,,,,,,,,,
GA,Dade County,GA,Davis Elementary School,130159000778,2015,Teachers employed during both the current and previous school year,20.00,,,,,,,,,,,
GA,Dade County,GA,Davis Elementary School,130159000778,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Dade County,GA,Davis Elementary School,130159000778,2015,Total enrollment,,,2.00,2.00,0.00,4.00,0.00,295.00,4.00,307.00,59.00,0.00
GA,Dade County,GA,Dade County High School,130159000775,2015,Classroom Teachers,40.60,39.10,,,,,,,,,,
GA,Dade County,GA,Dade County High School,130159000775,2015,Classroom teachers in their first year of teaching,4.26,,,,,,,,,,,
GA,Dade County,GA,Dade County High School,130159000775,2015,Classroom teachers in their second year of teaching,0.50,,,,,,,,,,,
GA,Dade County,GA,Dade County High School,130159000775,2015,Teachers absent more than 10 days of the school year,17.54,,,,,,,,,,,
GA,Dade County,GA,Dade County High School,130159000775,2015,Teachers employed during current school year,44.00,,,,,,,,,,,
GA,Dade County,GA,Dade County High School,130159000775,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Dade County,GA,Dade County High School,130159000775,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Dade County,GA,Dade County High School,130159000775,2015,Total enrollment,,,4.00,4.00,0.00,4.00,7.00,562.00,10.00,591.00,80.00,0.00

