Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Trion City,GA,Trion Elementary School,130513002465,2015,Classroom Teachers,42.34,42.34,,,,,,,,,,
GA,Trion City,GA,Trion Elementary School,130513002465,2015,Classroom teachers in their first year of teaching,1.50,,,,,,,,,,,
GA,Trion City,GA,Trion Elementary School,130513002465,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Trion City,GA,Trion Elementary School,130513002465,2015,Teachers absent more than 10 days of the school year,13.96,,,,,,,,,,,
GA,Trion City,GA,Trion Elementary School,130513002465,2015,Teachers employed during current school year,44.00,,,,,,,,,,,
GA,Trion City,GA,Trion Elementary School,130513002465,2015,Teachers employed during both the current and previous school year,40.00,,,,,,,,,,,
GA,Trion City,GA,Trion Elementary School,130513002465,2015,High-School Counselors,0.50,,,,,,,,,,,
GA,Trion City,GA,Trion Elementary School,130513002465,2015,Total enrollment,,,0.00,2.00,0.00,148.00,7.00,508.00,28.00,693.00,62.00,67.00
GA,Trion City,GA,Trion Middle School,130513002466,2015,Classroom Teachers,18.86,18.78,,,,,,,,,,
GA,Trion City,GA,Trion Middle School,130513002466,2015,Classroom teachers in their first year of teaching,0.50,,,,,,,,,,,
GA,Trion City,GA,Trion Middle School,130513002466,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Trion City,GA,Trion Middle School,130513002466,2015,Teachers absent more than 10 days of the school year,5.58,,,,,,,,,,,
GA,Trion City,GA,Trion Middle School,130513002466,2015,Teachers employed during current school year,25.00,,,,,,,,,,,
GA,Trion City,GA,Trion Middle School,130513002466,2015,Teachers employed during both the current and previous school year,24.00,,,,,,,,,,,
GA,Trion City,GA,Trion Middle School,130513002466,2015,High-School Counselors,0.50,,,,,,,,,,,
GA,Trion City,GA,Trion Middle School,130513002466,2015,Total enrollment,,,0.00,4.00,0.00,43.00,4.00,250.00,7.00,308.00,26.00,7.00
GA,Trion City,GA,Trion High School,130513002467,2015,Classroom Teachers,28.84,27.92,,,,,,,,,,
GA,Trion City,GA,Trion High School,130513002467,2015,Classroom teachers in their first year of teaching,2.92,,,,,,,,,,,
GA,Trion City,GA,Trion High School,130513002467,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Trion City,GA,Trion High School,130513002467,2015,Teachers absent more than 10 days of the school year,3.58,,,,,,,,,,,
GA,Trion City,GA,Trion High School,130513002467,2015,Teachers employed during current school year,32.00,,,,,,,,,,,
GA,Trion City,GA,Trion High School,130513002467,2015,Teachers employed during both the current and previous school year,27.00,,,,,,,,,,,
GA,Trion City,GA,Trion High School,130513002467,2015,High-School Counselors,1.20,,,,,,,,,,,
GA,Trion City,GA,Trion High School,130513002467,2015,Total enrollment,,,0.00,2.00,0.00,58.00,7.00,358.00,4.00,429.00,38.00,19.00

