Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,DeKalb County,GA,Tucker High School,130174000669,2015,Classroom Teachers,110.00,97.00,,,,,,,,,,
GA,DeKalb County,GA,Tucker High School,130174000669,2015,Classroom teachers in their first year of teaching,12.00,,,,,,,,,,,
GA,DeKalb County,GA,Tucker High School,130174000669,2015,Classroom teachers in their second year of teaching,7.00,,,,,,,,,,,
GA,DeKalb County,GA,Tucker High School,130174000669,2015,Teachers absent more than 10 days of the school year,42.50,,,,,,,,,,,
GA,DeKalb County,GA,Tucker High School,130174000669,2015,Teachers employed during current school year,111.00,,,,,,,,,,,
GA,DeKalb County,GA,Tucker High School,130174000669,2015,Teachers employed during both the current and previous school year,83.00,,,,,,,,,,,
GA,DeKalb County,GA,Tucker High School,130174000669,2015,High-School Counselors,4.00,,,,,,,,,,,
GA,DeKalb County,GA,Tucker High School,130174000669,2015,Total enrollment,,,7.00,244.00,2.00,184.00,1159.00,166.00,43.00,1805.00,137.00,289.00
GA,DeKalb County,GA,Tucker Middle School,130174003338,2015,Classroom Teachers,78.99,70.99,,,,,,,,,,
GA,DeKalb County,GA,Tucker Middle School,130174003338,2015,Classroom teachers in their first year of teaching,10.00,,,,,,,,,,,
GA,DeKalb County,GA,Tucker Middle School,130174003338,2015,Classroom teachers in their second year of teaching,10.00,,,,,,,,,,,
GA,DeKalb County,GA,Tucker Middle School,130174003338,2015,Teachers absent more than 10 days of the school year,32.00,,,,,,,,,,,
GA,DeKalb County,GA,Tucker Middle School,130174003338,2015,Teachers employed during current school year,80.00,,,,,,,,,,,
GA,DeKalb County,GA,Tucker Middle School,130174003338,2015,Teachers employed during both the current and previous school year,62.00,,,,,,,,,,,
GA,DeKalb County,GA,Tucker Middle School,130174003338,2015,High-School Counselors,2.50,,,,,,,,,,,
GA,DeKalb County,GA,Tucker Middle School,130174003338,2015,Total enrollment,,,2.00,169.00,2.00,157.00,754.00,112.00,25.00,1221.00,107.00,220.00
GA,DeKalb County,GA,Midvale Elementary School,130174000737,2015,Classroom Teachers,38.68,36.68,,,,,,,,,,
GA,DeKalb County,GA,Midvale Elementary School,130174000737,2015,Classroom teachers in their first year of teaching,6.00,,,,,,,,,,,
GA,DeKalb County,GA,Midvale Elementary School,130174000737,2015,Classroom teachers in their second year of teaching,4.00,,,,,,,,,,,
GA,DeKalb County,GA,Midvale Elementary School,130174000737,2015,Teachers absent more than 10 days of the school year,13.00,,,,,,,,,,,
GA,DeKalb County,GA,Midvale Elementary School,130174000737,2015,Teachers employed during current school year,40.00,,,,,,,,,,,
GA,DeKalb County,GA,Midvale Elementary School,130174000737,2015,Teachers employed during both the current and previous school year,28.00,,,,,,,,,,,
GA,DeKalb County,GA,Midvale Elementary School,130174000737,2015,High-School Counselors,1.49,,,,,,,,,,,
GA,DeKalb County,GA,Midvale Elementary School,130174000737,2015,Total enrollment,,,4.00,28.00,2.00,64.00,199.00,121.00,19.00,437.00,83.00,79.00
GA,DeKalb County,GA,Livsey Elementary School,130174000677,2015,Classroom Teachers,28.19,27.19,,,,,,,,,,
GA,DeKalb County,GA,Livsey Elementary School,130174000677,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
