Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Whitfield County,GA,Northwest Whitfield County High School,130570001819,2015,Classroom Teachers,79.10,76.10,,,,,,,,,,
GA,Whitfield County,GA,Northwest Whitfield County High School,130570001819,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Whitfield County,GA,Northwest Whitfield County High School,130570001819,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,Whitfield County,GA,Northwest Whitfield County High School,130570001819,2015,Teachers absent more than 10 days of the school year,17.35,,,,,,,,,,,
GA,Whitfield County,GA,Northwest Whitfield County High School,130570001819,2015,Teachers employed during current school year,66.00,,,,,,,,,,,
GA,Whitfield County,GA,Northwest Whitfield County High School,130570001819,2015,Teachers employed during both the current and previous school year,60.00,,,,,,,,,,,
GA,Whitfield County,GA,Northwest Whitfield County High School,130570001819,2015,High-School Counselors,3.33,,,,,,,,,,,
GA,Whitfield County,GA,Northwest Whitfield County High School,130570001819,2015,Total enrollment,,,4.00,13.00,0.00,364.00,31.00,871.00,40.00,1323.00,119.00,58.00
GA,Whitfield County,GA,Tunnel Hill Elementary School,130570001823,2015,Classroom Teachers,22.98,22.98,,,,,,,,,,
GA,Whitfield County,GA,Tunnel Hill Elementary School,130570001823,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Whitfield County,GA,Tunnel Hill Elementary School,130570001823,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Whitfield County,GA,Tunnel Hill Elementary School,130570001823,2015,Teachers absent more than 10 days of the school year,1.50,,,,,,,,,,,
GA,Whitfield County,GA,Tunnel Hill Elementary School,130570001823,2015,Teachers employed during current school year,24.00,,,,,,,,,,,
GA,Whitfield County,GA,Tunnel Hill Elementary School,130570001823,2015,Teachers employed during both the current and previous school year,22.00,,,,,,,,,,,
GA,Whitfield County,GA,Tunnel Hill Elementary School,130570001823,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Whitfield County,GA,Tunnel Hill Elementary School,130570001823,2015,Total enrollment,,,2.00,4.00,0.00,58.00,7.00,253.00,10.00,334.00,53.00,28.00
GA,Catoosa County,GA,Tiger Creek Elementary School,130093001934,2015,Classroom Teachers,35.00,35.00,,,,,,,,,,
GA,Catoosa County,GA,Tiger Creek Elementary School,130093001934,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Catoosa County,GA,Tiger Creek Elementary School,130093001934,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Catoosa County,GA,Tiger Creek Elementary School,130093001934,2015,Teachers absent more than 10 days of the school year,19.00,,,,,,,,,,,
GA,Catoosa County,GA,Tiger Creek Elementary School,130093001934,2015,Teachers employed during current school year,35.00,,,,,,,,,,,
GA,Catoosa County,GA,Tiger Creek Elementary School,130093001934,2015,Teachers employed during both the current and previous school year,31.00,,,,,,,,,,,
GA,Catoosa County,GA,Tiger Creek Elementary School,130093001934,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Catoosa County,GA,Tiger Creek Elementary School,130093001934,2015,Total enrollment,,,0.00,2.00,2.00,22.00,0.00,466.00,13.00,505.00,80.00,4.00

