Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Fayette County,GA,Flat Rock Middle School,130213002118,2015,Classroom Teachers,49.00,49.00,,,,,,,,,,
GA,Fayette County,GA,Flat Rock Middle School,130213002118,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Fayette County,GA,Flat Rock Middle School,130213002118,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Fayette County,GA,Flat Rock Middle School,130213002118,2015,Teachers absent more than 10 days of the school year,17.00,,,,,,,,,,,
GA,Fayette County,GA,Flat Rock Middle School,130213002118,2015,Teachers employed during current school year,49.00,,,,,,,,,,,
GA,Fayette County,GA,Flat Rock Middle School,130213002118,2015,Teachers employed during both the current and previous school year,37.00,,,,,,,,,,,
GA,Fayette County,GA,Flat Rock Middle School,130213002118,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Fayette County,GA,Flat Rock Middle School,130213002118,2015,Total enrollment,,,4.00,16.00,4.00,136.00,373.00,166.00,28.00,727.00,98.00,34.00
GA,Fayette County,GA,Sandy Creek High School,130213002167,2015,Classroom Teachers,83.49,81.49,,,,,,,,,,
GA,Fayette County,GA,Sandy Creek High School,130213002167,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Fayette County,GA,Sandy Creek High School,130213002167,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Fayette County,GA,Sandy Creek High School,130213002167,2015,Teachers absent more than 10 days of the school year,32.50,,,,,,,,,,,
GA,Fayette County,GA,Sandy Creek High School,130213002167,2015,Teachers employed during current school year,85.00,,,,,,,,,,,
GA,Fayette County,GA,Sandy Creek High School,130213002167,2015,Teachers employed during both the current and previous school year,64.00,,,,,,,,,,,
GA,Fayette County,GA,Sandy Creek High School,130213002167,2015,High-School Counselors,4.00,,,,,,,,,,,
GA,Fayette County,GA,Sandy Creek High School,130213002167,2015,Total enrollment,,,4.00,37.00,2.00,190.00,667.00,268.00,73.00,1241.00,134.00,34.00
GA,Fayette County,GA,Robert J. Burch Elementary School,130213002116,2015,Classroom Teachers,44.50,44.50,,,,,,,,,,
GA,Fayette County,GA,Robert J. Burch Elementary School,130213002116,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Fayette County,GA,Robert J. Burch Elementary School,130213002116,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Fayette County,GA,Robert J. Burch Elementary School,130213002116,2015,Teachers absent more than 10 days of the school year,10.50,,,,,,,,,,,
GA,Fayette County,GA,Robert J. Burch Elementary School,130213002116,2015,Teachers employed during current school year,46.00,,,,,,,,,,,
GA,Fayette County,GA,Robert J. Burch Elementary School,130213002116,2015,Teachers employed during both the current and previous school year,37.00,,,,,,,,,,,
GA,Fayette County,GA,Robert J. Burch Elementary School,130213002116,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Fayette County,GA,Robert J. Burch Elementary School,130213002116,2015,Total enrollment,,,2.00,13.00,2.00,175.00,211.00,127.00,19.00,549.00,50.00,130.00

