Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Fulton County,GA,Gullatt Elementary School,130228000969,2015,Classroom Teachers,34.64,28.64,,,,,,,,,,
GA,Fulton County,GA,Gullatt Elementary School,130228000969,2015,Classroom teachers in their first year of teaching,7.00,,,,,,,,,,,
GA,Fulton County,GA,Gullatt Elementary School,130228000969,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Fulton County,GA,Gullatt Elementary School,130228000969,2015,Teachers absent more than 10 days of the school year,14.00,,,,,,,,,,,
GA,Fulton County,GA,Gullatt Elementary School,130228000969,2015,Teachers employed during current school year,40.00,,,,,,,,,,,
GA,Fulton County,GA,Gullatt Elementary School,130228000969,2015,Teachers employed during both the current and previous school year,29.00,,,,,,,,,,,
GA,Fulton County,GA,Gullatt Elementary School,130228000969,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Fulton County,GA,Gullatt Elementary School,130228000969,2015,Total enrollment,,,0.00,0.00,0.00,55.00,454.00,10.00,13.00,532.00,35.00,28.00
GA,Fulton County,GA,Osbudsman South,130228004130,2015,Classroom Teachers,3.00,2.00,,,,,,,,,,
GA,Fulton County,GA,Osbudsman South,130228004130,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Fulton County,GA,Osbudsman South,130228004130,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Fulton County,GA,Osbudsman South,130228004130,2015,Teachers absent more than 10 days of the school year,0.00,,,,,,,,,,,
GA,Fulton County,GA,Osbudsman South,130228004130,2015,Teachers employed during current school year,3.00,,,,,,,,,,,
GA,Fulton County,GA,Osbudsman South,130228004130,2015,Teachers employed during both the current and previous school year,4.00,,,,,,,,,,,
GA,Fulton County,GA,Osbudsman South,130228004130,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Fulton County,GA,Osbudsman South,130228004130,2015,Total enrollment,,,0.00,0.00,0.00,0.00,22.00,0.00,0.00,22.00,8.00,0.00
GA,Fulton County,GA,Oakley Elementary School,130228003561,2015,Classroom Teachers,54.08,45.08,,,,,,,,,,
GA,Fulton County,GA,Oakley Elementary School,130228003561,2015,Classroom teachers in their first year of teaching,7.00,,,,,,,,,,,
GA,Fulton County,GA,Oakley Elementary School,130228003561,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Fulton County,GA,Oakley Elementary School,130228003561,2015,Teachers absent more than 10 days of the school year,33.00,,,,,,,,,,,
GA,Fulton County,GA,Oakley Elementary School,130228003561,2015,Teachers employed during current school year,57.00,,,,,,,,,,,
GA,Fulton County,GA,Oakley Elementary School,130228003561,2015,Teachers employed during both the current and previous school year,45.00,,,,,,,,,,,
GA,Fulton County,GA,Oakley Elementary School,130228003561,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Fulton County,GA,Oakley Elementary School,130228003561,2015,Total enrollment,,,2.00,2.00,0.00,55.00,700.00,10.00,7.00,776.00,71.00,40.00
GA,Fulton County,GA,Liberty Point Elementary School,130228002561,2015,Classroom Teachers,56.03,46.03,,,,,,,,,,
GA,Fulton County,GA,Liberty Point Elementary School,130228002561,2015,Classroom teachers in their first year of teaching,6.00,,,,,,,,,,,
GA,Fulton County,GA,Liberty Point Elementary School,130228002561,2015,Classroom teachers in their second year of teaching,8.00,,,,,,,,,,,
GA,Fulton County,GA,Liberty Point Elementary School,130228002561,2015,Teachers absent more than 10 days of the school year,25.00,,,,,,,,,,,
GA,Fulton County,GA,Liberty Point Elementary School,130228002561,2015,Teachers employed during current school year,59.00,,,,,,,,,,,
GA,Fulton County,GA,Liberty Point Elementary School,130228002561,2015,Teachers employed during both the current and previous school year,46.00,,,,,,,,,,,
GA,Fulton County,GA,Liberty Point Elementary School,130228002561,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Fulton County,GA,Liberty Point Elementary School,130228002561,2015,Total enrollment,,,0.00,2.00,0.00,49.00,688.00,4.00,13.00,756.00,113.00,2.00

