Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Vidalia City,GA,J. R. Trippe Middle School,130534001740,2015,Classroom Teachers,40.00,39.00,,,,,,,,,,
GA,Vidalia City,GA,J. R. Trippe Middle School,130534001740,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Vidalia City,GA,J. R. Trippe Middle School,130534001740,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Vidalia City,GA,J. R. Trippe Middle School,130534001740,2015,Teachers absent more than 10 days of the school year,5.00,,,,,,,,,,,
GA,Vidalia City,GA,J. R. Trippe Middle School,130534001740,2015,Teachers employed during current school year,40.00,,,,,,,,,,,
GA,Vidalia City,GA,J. R. Trippe Middle School,130534001740,2015,Teachers employed during both the current and previous school year,34.00,,,,,,,,,,,
GA,Vidalia City,GA,J. R. Trippe Middle School,130534001740,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Vidalia City,GA,J. R. Trippe Middle School,130534001740,2015,Total enrollment,,,2.00,4.00,2.00,31.00,250.00,214.00,13.00,516.00,77.00,31.00
GA,Vidalia City,GA,Sally Dailey Meadows Elementary School,130534001737,2015,Classroom Teachers,54.92,51.92,,,,,,,,,,
GA,Vidalia City,GA,Sally Dailey Meadows Elementary School,130534001737,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Vidalia City,GA,Sally Dailey Meadows Elementary School,130534001737,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Vidalia City,GA,Sally Dailey Meadows Elementary School,130534001737,2015,Teachers absent more than 10 days of the school year,15.80,,,,,,,,,,,
GA,Vidalia City,GA,Sally Dailey Meadows Elementary School,130534001737,2015,Teachers employed during current school year,57.00,,,,,,,,,,,
GA,Vidalia City,GA,Sally Dailey Meadows Elementary School,130534001737,2015,Teachers employed during both the current and previous school year,44.00,,,,,,,,,,,
GA,Vidalia City,GA,Sally Dailey Meadows Elementary School,130534001737,2015,High-School Counselors,1.10,,,,,,,,,,,
GA,Vidalia City,GA,Sally Dailey Meadows Elementary School,130534001737,2015,Total enrollment,,,4.00,7.00,0.00,49.00,376.00,286.00,22.00,744.00,134.00,28.00
GA,Vidalia City,GA,Vidalia Academy,130534004180,2015,Classroom Teachers,0.00,0.00,,,,,,,,,,
GA,Vidalia City,GA,Vidalia Academy,130534004180,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Vidalia City,GA,Vidalia Academy,130534004180,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Vidalia City,GA,Vidalia Academy,130534004180,2015,Teachers absent more than 10 days of the school year,0.00,,,,,,,,,,,
GA,Vidalia City,GA,Vidalia Academy,130534004180,2015,Teachers employed during current school year,0.00,,,,,,,,,,,
GA,Vidalia City,GA,Vidalia Academy,130534004180,2015,Teachers employed during both the current and previous school year,0.00,,,,,,,,,,,
GA,Vidalia City,GA,Vidalia Academy,130534004180,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Vidalia City,GA,Vidalia Academy,130534004180,2015,Total enrollment,,,13.00,31.00,0.00,64.00,604.00,1009.00,139.00,1860.00,32.00,0.00
GA,Vidalia City,GA,Vidalia Comprehensive High School,130534001739,2015,Classroom Teachers,45.52,41.32,,,,,,,,,,
GA,Vidalia City,GA,Vidalia Comprehensive High School,130534001739,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Vidalia City,GA,Vidalia Comprehensive High School,130534001739,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Vidalia City,GA,Vidalia Comprehensive High School,130534001739,2015,Teachers absent more than 10 days of the school year,4.96,,,,,,,,,,,
GA,Vidalia City,GA,Vidalia Comprehensive High School,130534001739,2015,Teachers employed during current school year,49.00,,,,,,,,,,,
GA,Vidalia City,GA,Vidalia Comprehensive High School,130534001739,2015,Teachers employed during both the current and previous school year,46.00,,,,,,,,,,,
GA,Vidalia City,GA,Vidalia Comprehensive High School,130534001739,2015,High-School Counselors,0.44,,,,,,,,,,,
GA,Vidalia City,GA,Vidalia Comprehensive High School,130534001739,2015,Total enrollment,,,2.00,2.00,0.00,40.00,307.00,358.00,10.00,719.00,65.00,2.00
GA,Vidalia City,GA,J. D. Dickerson Primary School,130534001738,2015,Classroom Teachers,24.00,24.00,,,,,,,,,,
GA,Vidalia City,GA,J. D. Dickerson Primary School,130534001738,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Vidalia City,GA,J. D. Dickerson Primary School,130534001738,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Vidalia City,GA,J. D. Dickerson Primary School,130534001738,2015,Teachers absent more than 10 days of the school year,0.00,,,,,,,,,,,
GA,Vidalia City,GA,J. D. Dickerson Primary School,130534001738,2015,Teachers employed during current school year,32.00,,,,,,,,,,,
GA,Vidalia City,GA,J. D. Dickerson Primary School,130534001738,2015,Teachers employed during both the current and previous school year,30.00,,,,,,,,,,,
GA,Vidalia City,GA,J. D. Dickerson Primary School,130534001738,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Vidalia City,GA,J. D. Dickerson Primary School,130534001738,2015,Total enrollment,,,0.00,2.00,0.00,40.00,301.00,172.00,22.00,537.00,56.00,7.00

