Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Carroll County,GA,Villa Rica High School,130084000324,2015,Classroom Teachers,77.28,75.28,,,,,,,,,,
GA,Carroll County,GA,Villa Rica High School,130084000324,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Carroll County,GA,Villa Rica High School,130084000324,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Carroll County,GA,Villa Rica High School,130084000324,2015,Teachers absent more than 10 days of the school year,37.19,,,,,,,,,,,
GA,Carroll County,GA,Villa Rica High School,130084000324,2015,Teachers employed during current school year,80.00,,,,,,,,,,,
GA,Carroll County,GA,Villa Rica High School,130084000324,2015,Teachers employed during both the current and previous school year,61.00,,,,,,,,,,,
GA,Carroll County,GA,Villa Rica High School,130084000324,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Carroll County,GA,Villa Rica High School,130084000324,2015,Total enrollment,,,4.00,10.00,2.00,127.00,397.00,964.00,88.00,1592.00,176.00,22.00
GA,Carroll County,GA,Ithica Elementary,130084003302,2015,Classroom Teachers,41.57,41.57,,,,,,,,,,
GA,Carroll County,GA,Ithica Elementary,130084003302,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Carroll County,GA,Ithica Elementary,130084003302,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Carroll County,GA,Ithica Elementary,130084003302,2015,Teachers absent more than 10 days of the school year,18.00,,,,,,,,,,,
GA,Carroll County,GA,Ithica Elementary,130084003302,2015,Teachers employed during current school year,43.00,,,,,,,,,,,
GA,Carroll County,GA,Ithica Elementary,130084003302,2015,Teachers employed during both the current and previous school year,36.00,,,,,,,,,,,
GA,Carroll County,GA,Ithica Elementary,130084003302,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Carroll County,GA,Ithica Elementary,130084003302,2015,Total enrollment,,,0.00,13.00,0.00,55.00,166.00,448.00,40.00,722.00,107.00,22.00
GA,Paulding County,GA,New Georgia Elementary School,130402001473,2015,Classroom Teachers,24.98,24.98,,,,,,,,,,
GA,Paulding County,GA,New Georgia Elementary School,130402001473,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Paulding County,GA,New Georgia Elementary School,130402001473,2015,Classroom teachers in their second year of teaching,3.98,,,,,,,,,,,
