Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Wilkes County,GA,Washington-Wilkes Comprehensive High School,130576003852,2015,Classroom Teachers,32.25,32.25,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Comprehensive High School,130576003852,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Comprehensive High School,130576003852,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Comprehensive High School,130576003852,2015,Teachers absent more than 10 days of the school year,4.25,,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Comprehensive High School,130576003852,2015,Teachers employed during current school year,33.00,,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Comprehensive High School,130576003852,2015,Teachers employed during both the current and previous school year,29.00,,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Comprehensive High School,130576003852,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Comprehensive High School,130576003852,2015,Total enrollment,,,0.00,4.00,0.00,25.00,244.00,166.00,13.00,452.00,41.00,0.00
GA,Wilkes County,GA,CrossRoads,130576002796,2015,Classroom Teachers,1.00,1.00,,,,,,,,,,
GA,Wilkes County,GA,CrossRoads,130576002796,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Wilkes County,GA,CrossRoads,130576002796,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Wilkes County,GA,CrossRoads,130576002796,2015,Teachers absent more than 10 days of the school year,0.00,,,,,,,,,,,
GA,Wilkes County,GA,CrossRoads,130576002796,2015,Teachers employed during current school year,1.00,,,,,,,,,,,
GA,Wilkes County,GA,CrossRoads,130576002796,2015,Teachers employed during both the current and previous school year,1.00,,,,,,,,,,,
GA,Wilkes County,GA,CrossRoads,130576002796,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Wilkes County,GA,CrossRoads,130576002796,2015,Total enrollment,,,0.00,0.00,0.00,2.00,5.00,5.00,2.00,14.00,<=2,0.00
GA,Wilkes County,GA,Washington-Wilkes Middle School,130576003942,2015,Classroom Teachers,26.50,24.50,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Middle School,130576003942,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Middle School,130576003942,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Middle School,130576003942,2015,Teachers absent more than 10 days of the school year,5.00,,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Middle School,130576003942,2015,Teachers employed during current school year,28.00,,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Middle School,130576003942,2015,Teachers employed during both the current and previous school year,21.00,,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Middle School,130576003942,2015,High-School Counselors,0.75,,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Middle School,130576003942,2015,Total enrollment,,,2.00,4.00,0.00,28.00,172.00,124.00,22.00,352.00,41.00,0.00
GA,Wilkes County,GA,Washington-Wilkes Elementary School,130576001840,2015,Classroom Teachers,18.45,18.45,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Elementary School,130576001840,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Elementary School,130576001840,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Elementary School,130576001840,2015,Teachers absent more than 10 days of the school year,8.00,,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Elementary School,130576001840,2015,Teachers employed during current school year,22.00,,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Elementary School,130576001840,2015,Teachers employed during both the current and previous school year,16.00,,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Elementary School,130576001840,2015,High-School Counselors,0.25,,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Elementary School,130576001840,2015,Total enrollment,,,0.00,4.00,0.00,28.00,154.00,100.00,10.00,296.00,32.00,0.00
GA,Wilkes County,GA,Washington-Wilkes Primary School,130576001839,2015,Classroom Teachers,39.00,39.00,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Primary School,130576001839,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Primary School,130576001839,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Primary School,130576001839,2015,Teachers absent more than 10 days of the school year,3.00,,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Primary School,130576001839,2015,Teachers employed during current school year,39.00,,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Primary School,130576001839,2015,Teachers employed during both the current and previous school year,34.00,,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Primary School,130576001839,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Wilkes County,GA,Washington-Wilkes Primary School,130576001839,2015,Total enrollment,,,2.00,7.00,2.00,31.00,256.00,178.00,28.00,504.00,77.00,16.00

