Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Oconee County,GA,Oconee County Middle School,130396000018,2015,Classroom Teachers,50.43,50.43,,,,,,,,,,
GA,Oconee County,GA,Oconee County Middle School,130396000018,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Oconee County,GA,Oconee County Middle School,130396000018,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Oconee County,GA,Oconee County Middle School,130396000018,2015,Teachers absent more than 10 days of the school year,12.00,,,,,,,,,,,
GA,Oconee County,GA,Oconee County Middle School,130396000018,2015,Teachers employed during current school year,51.00,,,,,,,,,,,
GA,Oconee County,GA,Oconee County Middle School,130396000018,2015,Teachers employed during both the current and previous school year,42.00,,,,,,,,,,,
GA,Oconee County,GA,Oconee County Middle School,130396000018,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Oconee County,GA,Oconee County Middle School,130396000018,2015,Total enrollment,,,0.00,31.00,0.00,52.00,49.00,652.00,25.00,809.00,95.00,16.00
GA,Oconee County,GA,Colham Ferry Elementary School,130396001465,2015,Classroom Teachers,32.25,32.25,,,,,,,,,,
GA,Oconee County,GA,Colham Ferry Elementary School,130396001465,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Oconee County,GA,Colham Ferry Elementary School,130396001465,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Oconee County,GA,Colham Ferry Elementary School,130396001465,2015,Teachers absent more than 10 days of the school year,8.50,,,,,,,,,,,
GA,Oconee County,GA,Colham Ferry Elementary School,130396001465,2015,Teachers employed during current school year,33.00,,,,,,,,,,,
GA,Oconee County,GA,Colham Ferry Elementary School,130396001465,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
GA,Oconee County,GA,Colham Ferry Elementary School,130396001465,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Oconee County,GA,Colham Ferry Elementary School,130396001465,2015,Total enrollment,,,0.00,13.00,0.00,22.00,19.00,460.00,16.00,530.00,56.00,16.00
GA,Oconee County,GA,Oconee County Elementary School,130396001464,2015,Classroom Teachers,31.83,31.83,,,,,,,,,,
GA,Oconee County,GA,Oconee County Elementary School,130396001464,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Oconee County,GA,Oconee County Elementary School,130396001464,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Oconee County,GA,Oconee County Elementary School,130396001464,2015,Teachers absent more than 10 days of the school year,9.00,,,,,,,,,,,
GA,Oconee County,GA,Oconee County Elementary School,130396001464,2015,Teachers employed during current school year,32.00,,,,,,,,,,,
GA,Oconee County,GA,Oconee County Elementary School,130396001464,2015,Teachers employed during both the current and previous school year,27.00,,,,,,,,,,,
GA,Oconee County,GA,Oconee County Elementary School,130396001464,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Oconee County,GA,Oconee County Elementary School,130396001464,2015,Total enrollment,,,0.00,31.00,2.00,46.00,28.00,316.00,16.00,439.00,47.00,37.00
GA,Oconee County,GA,Oconee County High School,130396000148,2015,Classroom Teachers,65.02,63.02,,,,,,,,,,
GA,Oconee County,GA,Oconee County High School,130396000148,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Oconee County,GA,Oconee County High School,130396000148,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Oconee County,GA,Oconee County High School,130396000148,2015,Teachers absent more than 10 days of the school year,18.06,,,,,,,,,,,
GA,Oconee County,GA,Oconee County High School,130396000148,2015,Teachers employed during current school year,66.00,,,,,,,,,,,
GA,Oconee County,GA,Oconee County High School,130396000148,2015,Teachers employed during both the current and previous school year,56.00,,,,,,,,,,,
GA,Oconee County,GA,Oconee County High School,130396000148,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Oconee County,GA,Oconee County High School,130396000148,2015,Total enrollment,,,2.00,40.00,2.00,67.00,61.00,928.00,31.00,1131.00,95.00,22.00
GA,Oconee County,GA,Oconee County Primary School,130396002008,2015,Classroom Teachers,30.49,30.49,,,,,,,,,,
GA,Oconee County,GA,Oconee County Primary School,130396002008,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Oconee County,GA,Oconee County Primary School,130396002008,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Oconee County,GA,Oconee County Primary School,130396002008,2015,Teachers absent more than 10 days of the school year,12.00,,,,,,,,,,,
GA,Oconee County,GA,Oconee County Primary School,130396002008,2015,Teachers employed during current school year,31.00,,,,,,,,,,,
GA,Oconee County,GA,Oconee County Primary School,130396002008,2015,Teachers employed during both the current and previous school year,28.00,,,,,,,,,,,
GA,Oconee County,GA,Oconee County Primary School,130396002008,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Oconee County,GA,Oconee County Primary School,130396002008,2015,Total enrollment,,,2.00,31.00,2.00,55.00,28.00,313.00,22.00,453.00,101.00,46.00

