Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Burke County,GA,Burke County Middle School,130066001990,2015,Classroom Teachers,70.00,67.00,,,,,,,,,,
GA,Burke County,GA,Burke County Middle School,130066001990,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Burke County,GA,Burke County Middle School,130066001990,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Burke County,GA,Burke County Middle School,130066001990,2015,Teachers absent more than 10 days of the school year,21.00,,,,,,,,,,,
GA,Burke County,GA,Burke County Middle School,130066001990,2015,Teachers employed during current school year,70.00,,,,,,,,,,,
GA,Burke County,GA,Burke County Middle School,130066001990,2015,Teachers employed during both the current and previous school year,58.00,,,,,,,,,,,
GA,Burke County,GA,Burke County Middle School,130066001990,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Burke County,GA,Burke County Middle School,130066001990,2015,Total enrollment,,,4.00,4.00,2.00,25.00,658.00,283.00,34.00,1010.00,83.00,10.00
GA,Burke County,GA,Blakeney Elementary,130066002817,2015,Classroom Teachers,55.00,55.00,,,,,,,,,,
GA,Burke County,GA,Blakeney Elementary,130066002817,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Burke County,GA,Blakeney Elementary,130066002817,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Burke County,GA,Blakeney Elementary,130066002817,2015,Teachers absent more than 10 days of the school year,12.00,,,,,,,,,,,
GA,Burke County,GA,Blakeney Elementary,130066002817,2015,Teachers employed during current school year,55.00,,,,,,,,,,,
GA,Burke County,GA,Blakeney Elementary,130066002817,2015,Teachers employed during both the current and previous school year,48.00,,,,,,,,,,,
GA,Burke County,GA,Blakeney Elementary,130066002817,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Burke County,GA,Blakeney Elementary,130066002817,2015,Total enrollment,,,0.00,4.00,0.00,28.00,535.00,193.00,31.00,791.00,89.00,10.00
GA,Burke County,GA,Waynesboro Primary School,130066000293,2015,Classroom Teachers,71.00,71.00,,,,,,,,,,
GA,Burke County,GA,Waynesboro Primary School,130066000293,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Burke County,GA,Waynesboro Primary School,130066000293,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Burke County,GA,Waynesboro Primary School,130066000293,2015,Teachers absent more than 10 days of the school year,22.00,,,,,,,,,,,
GA,Burke County,GA,Waynesboro Primary School,130066000293,2015,Teachers employed during current school year,71.00,,,,,,,,,,,
GA,Burke County,GA,Waynesboro Primary School,130066000293,2015,Teachers employed during both the current and previous school year,62.00,,,,,,,,,,,
GA,Burke County,GA,Waynesboro Primary School,130066000293,2015,High-School Counselors,2.50,,,,,,,,,,,
GA,Burke County,GA,Waynesboro Primary School,130066000293,2015,Total enrollment,,,0.00,7.00,0.00,40.00,700.00,256.00,43.00,1046.00,167.00,16.00
GA,Burke County,GA,Burke County High School,130066001991,2015,Classroom Teachers,73.50,72.50,,,,,,,,,,
GA,Burke County,GA,Burke County High School,130066001991,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Burke County,GA,Burke County High School,130066001991,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Burke County,GA,Burke County High School,130066001991,2015,Teachers absent more than 10 days of the school year,31.00,,,,,,,,,,,
GA,Burke County,GA,Burke County High School,130066001991,2015,Teachers employed during current school year,74.00,,,,,,,,,,,
GA,Burke County,GA,Burke County High School,130066001991,2015,Teachers employed during both the current and previous school year,60.00,,,,,,,,,,,
GA,Burke County,GA,Burke County High School,130066001991,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Burke County,GA,Burke County High School,130066001991,2015,Total enrollment,,,4.00,0.00,2.00,13.00,787.00,337.00,22.00,1165.00,119.00,4.00
