Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Barrow County,GA,Winder-Barrow High School,130029000173,2015,Classroom Teachers,119.19,115.19,,,,,,,,,,
GA,Barrow County,GA,Winder-Barrow High School,130029000173,2015,Classroom teachers in their first year of teaching,7.00,,,,,,,,,,,
GA,Barrow County,GA,Winder-Barrow High School,130029000173,2015,Classroom teachers in their second year of teaching,3.23,,,,,,,,,,,
GA,Barrow County,GA,Winder-Barrow High School,130029000173,2015,Teachers absent more than 10 days of the school year,47.58,,,,,,,,,,,
GA,Barrow County,GA,Winder-Barrow High School,130029000173,2015,Teachers employed during current school year,119.00,,,,,,,,,,,
GA,Barrow County,GA,Winder-Barrow High School,130029000173,2015,Teachers employed during both the current and previous school year,95.00,,,,,,,,,,,
GA,Barrow County,GA,Winder-Barrow High School,130029000173,2015,High-School Counselors,4.00,,,,,,,,,,,
GA,Barrow County,GA,Winder-Barrow High School,130029000173,2015,Total enrollment,,,7.00,109.00,2.00,271.00,268.00,1162.00,79.00,1898.00,233.00,61.00
GA,Barrow County,GA,Yargo Elementary School,130029002293,2015,Classroom Teachers,57.00,57.00,,,,,,,,,,
GA,Barrow County,GA,Yargo Elementary School,130029002293,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Barrow County,GA,Yargo Elementary School,130029002293,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Barrow County,GA,Yargo Elementary School,130029002293,2015,Teachers absent more than 10 days of the school year,20.00,,,,,,,,,,,
GA,Barrow County,GA,Yargo Elementary School,130029002293,2015,Teachers employed during current school year,57.00,,,,,,,,,,,
GA,Barrow County,GA,Yargo Elementary School,130029002293,2015,Teachers employed during both the current and previous school year,44.00,,,,,,,,,,,
GA,Barrow County,GA,Yargo Elementary School,130029002293,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Barrow County,GA,Yargo Elementary School,130029002293,2015,Total enrollment,,,4.00,31.00,0.00,124.00,118.00,535.00,40.00,852.00,101.00,112.00
GA,Barrow County,GA,Haymon-Morris Middle School,130029003285,2015,Classroom Teachers,46.00,46.00,,,,,,,,,,
GA,Barrow County,GA,Haymon-Morris Middle School,130029003285,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Barrow County,GA,Haymon-Morris Middle School,130029003285,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Barrow County,GA,Haymon-Morris Middle School,130029003285,2015,Teachers absent more than 10 days of the school year,12.00,,,,,,,,,,,
GA,Barrow County,GA,Haymon-Morris Middle School,130029003285,2015,Teachers employed during current school year,46.00,,,,,,,,,,,
