Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Douglas County,GA,Mason Creek Elementary School,130186003911,2015,Classroom Teachers,39.60,39.60,,,,,,,,,,
GA,Douglas County,GA,Mason Creek Elementary School,130186003911,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Douglas County,GA,Mason Creek Elementary School,130186003911,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Douglas County,GA,Mason Creek Elementary School,130186003911,2015,Teachers absent more than 10 days of the school year,10.50,,,,,,,,,,,
GA,Douglas County,GA,Mason Creek Elementary School,130186003911,2015,Teachers employed during current school year,41.00,,,,,,,,,,,
GA,Douglas County,GA,Mason Creek Elementary School,130186003911,2015,Teachers employed during both the current and previous school year,30.00,,,,,,,,,,,
GA,Douglas County,GA,Mason Creek Elementary School,130186003911,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Douglas County,GA,Mason Creek Elementary School,130186003911,2015,Total enrollment,,,4.00,7.00,0.00,61.00,169.00,277.00,34.00,552.00,95.00,28.00
GA,Douglas County,GA,Mason Creek Middle School,130186003890,2015,Classroom Teachers,50.47,50.47,,,,,,,,,,
GA,Douglas County,GA,Mason Creek Middle School,130186003890,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Douglas County,GA,Mason Creek Middle School,130186003890,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Douglas County,GA,Mason Creek Middle School,130186003890,2015,Teachers absent more than 10 days of the school year,9.00,,,,,,,,,,,
GA,Douglas County,GA,Mason Creek Middle School,130186003890,2015,Teachers employed during current school year,52.00,,,,,,,,,,,
GA,Douglas County,GA,Mason Creek Middle School,130186003890,2015,Teachers employed during both the current and previous school year,44.00,,,,,,,,,,,
GA,Douglas County,GA,Mason Creek Middle School,130186003890,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Douglas County,GA,Mason Creek Middle School,130186003890,2015,Total enrollment,,,4.00,13.00,4.00,118.00,352.00,367.00,37.00,895.00,101.00,22.00
GA,Douglas County,GA,Winston Elementary School,130186000859,2015,Classroom Teachers,26.99,26.99,,,,,,,,,,
GA,Douglas County,GA,Winston Elementary School,130186000859,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Douglas County,GA,Winston Elementary School,130186000859,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Douglas County,GA,Winston Elementary School,130186000859,2015,Teachers absent more than 10 days of the school year,9.50,,,,,,,,,,,
GA,Douglas County,GA,Winston Elementary School,130186000859,2015,Teachers employed during current school year,28.00,,,,,,,,,,,
GA,Douglas County,GA,Winston Elementary School,130186000859,2015,Teachers employed during both the current and previous school year,27.00,,,,,,,,,,,
GA,Douglas County,GA,Winston Elementary School,130186000859,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Douglas County,GA,Winston Elementary School,130186000859,2015,Total enrollment,,,2.00,4.00,2.00,103.00,130.00,178.00,28.00,447.00,44.00,82.00

