Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Cherokee County,GA,Carmel Elementary School,130111002359,2015,Classroom Teachers,71.00,71.00,,,,,,,,,,
GA,Cherokee County,GA,Carmel Elementary School,130111002359,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Cherokee County,GA,Carmel Elementary School,130111002359,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Carmel Elementary School,130111002359,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Cherokee County,GA,Carmel Elementary School,130111002359,2015,Teachers employed during current school year,71.00,,,,,,,,,,,
GA,Cherokee County,GA,Carmel Elementary School,130111002359,2015,Teachers employed during both the current and previous school year,61.00,,,,,,,,,,,
GA,Cherokee County,GA,Carmel Elementary School,130111002359,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Cherokee County,GA,Carmel Elementary School,130111002359,2015,Total enrollment,,,4.00,19.00,4.00,232.00,148.00,619.00,46.00,1072.00,122.00,130.00
GA,Cherokee County,GA,Boston Elementary School,130111002020,2015,Classroom Teachers,42.59,42.59,,,,,,,,,,
GA,Cherokee County,GA,Boston Elementary School,130111002020,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Cherokee County,GA,Boston Elementary School,130111002020,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Boston Elementary School,130111002020,2015,Teachers absent more than 10 days of the school year,1.00,,,,,,,,,,,
GA,Cherokee County,GA,Boston Elementary School,130111002020,2015,Teachers employed during current school year,43.00,,,,,,,,,,,
GA,Cherokee County,GA,Boston Elementary School,130111002020,2015,Teachers employed during both the current and previous school year,35.00,,,,,,,,,,,
GA,Cherokee County,GA,Boston Elementary School,130111002020,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Cherokee County,GA,Boston Elementary School,130111002020,2015,Total enrollment,,,0.00,2.00,0.00,97.00,37.00,448.00,31.00,615.00,68.00,46.00
GA,Cherokee County,GA,Arnold Mill Elementary School,130111001443,2015,Classroom Teachers,49.53,49.53,,,,,,,,,,
GA,Cherokee County,GA,Arnold Mill Elementary School,130111001443,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Cherokee County,GA,Arnold Mill Elementary School,130111001443,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Arnold Mill Elementary School,130111001443,2015,Teachers absent more than 10 days of the school year,12.53,,,,,,,,,,,
GA,Cherokee County,GA,Arnold Mill Elementary School,130111001443,2015,Teachers employed during current school year,50.00,,,,,,,,,,,
GA,Cherokee County,GA,Arnold Mill Elementary School,130111001443,2015,Teachers employed during both the current and previous school year,46.00,,,,,,,,,,,
GA,Cherokee County,GA,Arnold Mill Elementary School,130111001443,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,Cherokee County,GA,Arnold Mill Elementary School,130111001443,2015,Total enrollment,,,0.00,10.00,0.00,94.00,28.00,622.00,28.00,782.00,89.00,73.00
GA,Cherokee County,GA,Mountain Road Elementary School,130111002066,2015,Classroom Teachers,33.99,33.99,,,,,,,,,,
GA,Cherokee County,GA,Mountain Road Elementary School,130111002066,2015,Classroom teachers in their first year of teaching,0.51,,,,,,,,,,,
GA,Cherokee County,GA,Mountain Road Elementary School,130111002066,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Mountain Road Elementary School,130111002066,2015,Teachers absent more than 10 days of the school year,11.48,,,,,,,,,,,
GA,Cherokee County,GA,Mountain Road Elementary School,130111002066,2015,Teachers employed during current school year,36.00,,,,,,,,,,,
GA,Cherokee County,GA,Mountain Road Elementary School,130111002066,2015,Teachers employed during both the current and previous school year,33.00,,,,,,,,,,,
GA,Cherokee County,GA,Mountain Road Elementary School,130111002066,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Cherokee County,GA,Mountain Road Elementary School,130111002066,2015,Total enrollment,,,0.00,19.00,0.00,52.00,37.00,436.00,16.00,560.00,68.00,31.00
