Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Johnson County,GA,Johnson County Middle School,130312002400,2015,Classroom Teachers,17.55,17.55,,,,,,,,,,
GA,Johnson County,GA,Johnson County Middle School,130312002400,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Johnson County,GA,Johnson County Middle School,130312002400,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Johnson County,GA,Johnson County Middle School,130312002400,2015,Teachers absent more than 10 days of the school year,10.81,,,,,,,,,,,
GA,Johnson County,GA,Johnson County Middle School,130312002400,2015,Teachers employed during current school year,22.00,,,,,,,,,,,
GA,Johnson County,GA,Johnson County Middle School,130312002400,2015,Teachers employed during both the current and previous school year,18.00,,,,,,,,,,,
GA,Johnson County,GA,Johnson County Middle School,130312002400,2015,High-School Counselors,0.56,,,,,,,,,,,
GA,Johnson County,GA,Johnson County Middle School,130312002400,2015,Total enrollment,,,2.00,4.00,0.00,4.00,118.00,142.00,2.00,272.00,32.00,0.00
GA,Johnson County,GA,Johnson County High School,130312000055,2015,Classroom Teachers,23.96,21.96,,,,,,,,,,
GA,Johnson County,GA,Johnson County High School,130312000055,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Johnson County,GA,Johnson County High School,130312000055,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Johnson County,GA,Johnson County High School,130312000055,2015,Teachers absent more than 10 days of the school year,11.82,,,,,,,,,,,
GA,Johnson County,GA,Johnson County High School,130312000055,2015,Teachers employed during current school year,26.00,,,,,,,,,,,
GA,Johnson County,GA,Johnson County High School,130312000055,2015,Teachers employed during both the current and previous school year,19.00,,,,,,,,,,,
GA,Johnson County,GA,Johnson County High School,130312000055,2015,High-School Counselors,0.56,,,,,,,,,,,
GA,Johnson County,GA,Johnson County High School,130312000055,2015,Total enrollment,,,4.00,4.00,0.00,16.00,139.00,175.00,2.00,340.00,47.00,4.00
GA,Johnson County,GA,Johnson County Elementary School,130312001697,2015,Classroom Teachers,37.00,36.00,,,,,,,,,,
GA,Johnson County,GA,Johnson County Elementary School,130312001697,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Johnson County,GA,Johnson County Elementary School,130312001697,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Johnson County,GA,Johnson County Elementary School,130312001697,2015,Teachers absent more than 10 days of the school year,13.00,,,,,,,,,,,
GA,Johnson County,GA,Johnson County Elementary School,130312001697,2015,Teachers employed during current school year,38.00,,,,,,,,,,,
GA,Johnson County,GA,Johnson County Elementary School,130312001697,2015,Teachers employed during both the current and previous school year,30.00,,,,,,,,,,,
GA,Johnson County,GA,Johnson County Elementary School,130312001697,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Johnson County,GA,Johnson County Elementary School,130312001697,2015,Total enrollment,,,0.00,4.00,0.00,25.00,229.00,286.00,13.00,557.00,62.00,4.00

